年份,地区,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),city_name,year_now,city_new_comp_cnt_now,year_last,city_new_comp_cnt_last,yoy_gr,city_idx,year
2019.0,吉林,14170000.0,34335.0,412.0,吉林,2020,33305,2019,34722,-4.080986118311158,50,2019.0
2020.0,吉林,14530000.0,35588.0,407.0,吉林,2021,39576,2020,33305,18.82900465395587,50,2020.0
2021.0,吉林,15500000.0,43333.0,402.0,吉林,2022,43423,2021,39576,9.72053769961594,50,2021.0
2019.0,吐鲁番,3840000.0,60985.0,63.0,吐鲁番,2020,6018,2019,7777,-22.61797608332262,295,2019.0
2020.0,吐鲁番,3730000.0,61550.0,62.67,吐鲁番,2021,6297,2020,6018,4.636091724825531,295,2020.0
2021.0,吐鲁番,4330000.0,62115.0,62.33,吐鲁番,2022,5328,2021,6297,-15.388280133396858,295,2021.0
2019.0,吕梁,15120000.0,38890.0,394.0,吕梁,2020,37164,2019,33962,9.42818444143454,25,2019.0
2020.0,吕梁,15380000.0,42200.0,393.0,吕梁,2021,38090,2020,37164,2.491658594338597,25,2020.0
2021.0,吕梁,20710000.0,61200.0,392.0,吕梁,2022,74682,2021,38090,96.06720924127067,25,2021.0
2019.0,吴忠,5800000.0,40889.0,143.0,吴忠,2020,15017,2019,15970,-5.967438948027548,290,2019.0
2020.0,吴忠,6220000.0,44330.0,143.5,吴忠,2021,17094,2020,15017,13.830991542918024,290,2020.0
2021.0,吴忠,7620000.0,54933.0,144.0,吴忠,2022,15016,2021,17094,-12.156312156312154,290,2021.0
2019.0,周口,31980000.0,36891.0,1257.0,周口,2020,72547,2019,79383,-8.611415542370537,159,2019.0
2020.0,周口,32670000.0,36214.0,1257.5,周口,2021,96310,2020,72547,32.755317242615135,159,2020.0
2021.0,周口,34960000.0,39126.0,1258.0,周口,2022,165543,2021,96310,71.88557782161769,159,2021.0
2019.0,呼伦贝尔,11930000.0,47116.0,255.0,呼伦贝尔,2020,23520,2019,29752,-20.946490992202204,32,2019.0
2020.0,呼伦贝尔,11720000.0,45923.0,252.5,呼伦贝尔,2021,26403,2020,23520,12.257653061224485,32,2020.0
2021.0,呼伦贝尔,13550000.0,60887.0,250.0,呼伦贝尔,2022,25242,2021,26403,-4.397227587774122,32,2021.0
2019.0,呼和浩特,27910000.0,89138.0,249.0,呼和浩特,2020,40163,2019,45355,-11.447469959210675,26,2019.0
2020.0,呼和浩特,28010000.0,81656.0,252.0,呼和浩特,2021,47703,2020,40163,18.77349799566765,26,2020.0
2021.0,呼和浩特,31210000.0,89828.0,255.0,呼和浩特,2022,36381,2021,47703,-23.734356329790582,26,2021.0
2019.0,咸宁,15950000.0,62650.0,305.0,咸宁,2020,24293,2019,29500,-17.650847457627115,170,2019.0
2020.0,咸宁,15250000.0,58319.0,304.5,咸宁,2021,42108,2020,24293,73.33388218828469,170,2020.0
2021.0,咸宁,17520000.0,66194.0,304.0,咸宁,2022,67466,2021,42108,60.22133561318515,170,2021.0
2019.0,咸阳,21950000.0,50338.0,458.0,咸阳,2020,61295,2019,59257,3.4392561216396444,268,2019.0
2020.0,咸阳,22050000.0,55189.0,456.5,咸阳,2021,64234,2020,61295,4.794844603964443,268,2020.0
2021.0,咸阳,25810000.0,61002.0,455.0,咸阳,2022,71168,2021,64234,10.79490612448235,268,2021.0
