year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2021,佛山,121570000.0,127085.0,484.0,154.554,149.949,-2.9795411312550883,2.141242713826883,178234,2021,123545,26.65955854461201,佛山,202
2019,佳木斯,7630000.0,32788.0,233.0,22.914,16.399,-28.43239940647639,-4.8145224940805,27286,2019,30635,25.687207680315087,佳木斯,63
2020,佳木斯,8120000.0,35124.0,230.5,16.399,18.011,9.829867674858212,-28.43239940647639,32046,2020,27286,-10.931940590827486,佳木斯,63
2021,佳木斯,8160000.0,38247.0,228.0,18.011,16.635,-7.639775692632268,9.829867674858212,31069,2021,32046,17.444843509492046,佳木斯,63
2019,保定,37720000.0,31856.0,1215.0,81.757,75.159,-8.070256981053609,2.577067362583594,126135,2019,122668,-0.5577353351275982,保定,9
2020,保定,39540000.0,34269.0,1211.5,75.159,76.073,1.2160885589217356,-8.070256981053609,130440,2020,126135,2.826327974695927,保定,9
2021,保定,44020000.0,38157.0,1208.0,76.073,80.255,5.497351228425332,1.2160885589217356,141311,2021,130440,3.413009870376977,保定,9
2019,保山,9610000.0,36548.0,264.0,15.595,15.764,1.083680666880402,-28.01089415131791,20793,2019,19309,-0.9591711120229791,保山,257
2020,保山,10530000.0,43200.0,264.5,15.764,15.608,-0.9895965490992059,1.083680666880402,24953,2020,20793,7.6855352426329695,保山,257
2021,保山,11660000.0,48074.0,265.0,15.608,15.652,0.2819067145053736,-0.9895965490992059,37875,2021,24953,20.006733035156063,保山,257
2019,信阳,27580000.0,42641.0,912.0,52.659,52.53,-0.2449723693955407,0.09884616115725968,43681,2019,46727,3.7570778283557233,信阳,161
2020,信阳,28050000.0,44922.0,911.0,52.53,48.263,-8.122977346278324,-0.2449723693955407,52998,2020,43681,-6.518715089776789,信阳,161
2021,信阳,30650000.0,49345.0,910.0,48.263,47.903,-0.745913018254148,-8.122977346278324,108369,2021,52998,21.329639889196674,信阳,161
